"year","demo.locals1","demo.locals2","demo.locals3","demo.tours1","demo.tours2","demo.tours3","num_locals","num_tours","knowtrans","tours_local","tours_tours","local_local","local_misd","dem1toursK_Mean","dem1localK_Mean","dem2toursK_Mean","dem2localK_Mean","dem3toursK_Mean","dem3localK_Mean","dem1toursK_SE","dem1localK_SE","dem2toursK_SE","dem2localK_SE","dem3toursK_SE","dem3localK_SE"
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.112340181125353,0.500164795684803,0.112998383902913,0.498700100858288,0.111070424468509,0.500985971383851,0.00168225055367236,0.00157432926770615,0.00261160568366473,0.0019445447301991,0.00250555615585032,0.00216003207079804
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.1","0",0.110087026179544,0.500030251794781,0.106953615411521,0.495658104011185,0.106764970528746,0.50036834066111,0.00188931878420242,0.00136485588061486,0.0025593760101128,0.00191508691767984,0.00238430965767553,0.00187819791283538
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.2","0",0.110399268445054,0.498691074396687,0.103505680715779,0.503514229881915,0.10796509080701,0.497846677736764,0.00176032898385192,0.00136737353362412,0.00228336037165615,0.00221349692601726,0.00240742790558586,0.00222021399300373
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.3","0",0.105539063378018,0.500721533505165,0.109043978577191,0.501127707299796,0.107611567957496,0.500018190641835,0.00181034488957256,0.00149083352926064,0.002431985468482,0.0019894053537225,0.00255213491609273,0.00194557316509943
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.4","0",0.110855974640737,0.49970993113918,0.10734565248247,0.501858108709959,0.10735667134029,0.501717599024099,0.00164459129497697,0.00156388861674156,0.00222671228695276,0.00215130963051844,0.00229674704424184,0.00207780896070852
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.5","0",0.109991493340356,0.501127557002704,0.105784389847638,0.49586072140201,0.11023698225998,0.499180157124197,0.00178688126800854,0.00150038213653547,0.00223056131773193,0.00215320532609791,0.00260212580006825,0.00201293313093716
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.6","0",0.109913568626098,0.49825109603611,0.106004360525176,0.498537163265048,0.110391812719245,0.498993584993363,0.00163310404226491,0.00120628061415861,0.00240961421028409,0.00222947944555548,0.00287453277932588,0.00220822496650565
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.7","0",0.108177899542824,0.500024638276509,0.109320981996529,0.501554844969901,0.10717620175062,0.498899186884222,0.00185956219882257,0.00142000266191173,0.00228577467106637,0.00212151298795854,0.00240939143953569,0.00202130596273349
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.8","0",0.108110766999822,0.499469875777098,0.106548810997358,0.501824975342177,0.106207587025536,0.499547299963668,0.00164497068196617,0.00135456569958058,0.00281549612852223,0.00204458495684583,0.00257160514814097,0.00165967949497713
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.9","0",0.106761111434565,0.501653659121138,0.106172196294661,0.503874903651297,0.107260792721007,0.500328651780482,0.00140759542706912,0.00150881803174363,0.00279410528566107,0.00196072867264799,0.00237919364749955,0.00198539071922044
"1","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","1","0",0.10541915603287,0.498834963956659,0.110749519869735,0.502270921164662,0.110494137683275,0.500131690504669,0.00161401990498052,0.00153184297053001,0.00264274080599592,0.00198836804122509,0.00233291267818396,0.00197929184245194
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0","0",0.580997052822177,0.775907291289572,0.585608649413784,0.777322808255558,0.569007652246093,0.782022666088616,0.0048382826255074,0.00316677032874735,0.00679103505687723,0.00482481323411944,0.00732863579308765,0.00479337137624497
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.1","0",0.584583120423795,0.776769370792214,0.573565316874286,0.777166296348407,0.539700135356253,0.788656496474958,0.00502155810684268,0.00340865718963481,0.00788529364260709,0.00463985681194202,0.00859687115785915,0.00424324630736587
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.2","0",0.582553639022404,0.775075735437445,0.573437899788371,0.784328715940173,0.556893170324581,0.782741223928326,0.00526897084734274,0.00317704548645608,0.0077376728807662,0.00404004642728635,0.00748359755744142,0.00441070984093461
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.3","0",0.57575990684865,0.777414647137024,0.58179709137905,0.785069245527741,0.557757294069402,0.787319719170186,0.00568185012406989,0.00315720876783768,0.00726612652523822,0.00409962891903348,0.00771046502481065,0.00432231543862409
"10","0.5","0.25","0.25","0.5","0.25","0.25","100","50","0.05","0.5","0","0.4","0",0.578130960670647,0.782697703116071,0.589243518155736,0.783362753875528,0.554062948804338,0.788413057940673,0.0054198534725736,0.00320166642698063,0.00664592156762402,0.00511144090776944,0.0076490381702306,0.00422675252788098
